kommunenummer,value,color
0301,55,"[116, 115, 55]"
1101,42,"[111, 93, 12]"
1103,86,"[49, 189, 223]"
1106,50,"[248, 5, 126]"
1108,31,"[42, 146, 198]"
1111,51,"[62, 202, 117]"
1112,1,"[234, 135, 25]"
1114,65,"[42, 156, 7]"
1119,89,"[16, 162, 66]"
1120,74,"[72, 146, 218]"
1121,24,"[224, 75, 184]"
1122,73,"[211, 251, 216]"
1124,75,"[231, 43, 129]"
1127,30,"[80, 166, 106]"
1130,9,"[102, 47, 139]"
1133,44,"[201, 211, 130]"
1134,22,"[188, 160, 140]"
1135,92,"[222, 213, 135]"
1145,83,"[134, 181, 151]"
1146,3,"[151, 120, 37]"
1149,20,"[78, 123, 16]"
1151,99,"[6, 214, 36]"
1160,34,"[152, 48, 250]"
1505,85,"[131, 60, 139]"
1506,30,"[129, 102, 32]"
1507,31,"[101, 39, 148]"
1511,89,"[70, 85, 139]"
1514,79,"[193, 205, 114]"
1515,90,"[122, 99, 67]"
1516,56,"[126, 222, 28]"
1517,92,"[132, 244, 77]"
1520,44,"[68, 57, 145]"
1525,3,"[74, 186, 170]"
1528,62,"[178, 141, 107]"
1531,96,"[33, 130, 86]"
1532,1,"[31, 166, 30]"
1535,88,"[8, 232, 137]"
1539,31,"[197, 26, 132]"
1547,3,"[211, 10, 103]"
1554,58,"[186, 52, 183]"
1557,96,"[217, 252, 35]"
1560,3,"[37, 100, 157]"
1563,37,"[112, 59, 189]"
1566,11,"[83, 37, 163]"
1573,51,"[198, 165, 8]"
1576,91,"[153, 174, 82]"
1577,72,"[86, 34, 32]"
1578,15,"[135, 203, 180]"
1579,14,"[210, 83, 241]"
1804,44,"[96, 5, 185]"
1806,82,"[9, 131, 226]"
1811,19,"[232, 87, 100]"
1812,31,"[1, 220, 243]"
1813,22,"[199, 226, 55]"
1815,20,"[118, 253, 60]"
1816,95,"[171, 174, 59]"
1818,64,"[214, 138, 15]"
1820,49,"[217, 54, 93]"
1822,92,"[44, 100, 235]"
1824,54,"[73, 176, 27]"
1825,12,"[122, 71, 159]"
1826,1,"[15, 248, 30]"
1827,66,"[228, 253, 93]"
1828,19,"[226, 5, 84]"
1832,51,"[10, 168, 213]"
1833,87,"[241, 180, 23]"
1834,90,"[85, 159, 159]"
1836,85,"[159, 173, 148]"
1837,42,"[24, 198, 98]"
1838,9,"[79, 108, 229]"
1839,77,"[169, 125, 101]"
1840,92,"[71, 215, 253]"
1841,96,"[89, 27, 108]"
