kommunenummer,value,color
0101,63,"[207, 231, 95]"
0104,52,"[229, 147, 133]"
0105,91,"[216, 132, 146]"
0106,13,"[81, 106, 127]"
0111,24,"[49, 163, 205]"
0118,31,"[202, 45, 24]"
0119,61,"[184, 247, 224]"
0121,14,"[83, 18, 182]"
0122,78,"[146, 106, 254]"
0123,81,"[148, 196, 228]"
0124,5,"[216, 37, 97]"
0125,95,"[88, 162, 76]"
0127,86,"[164, 1, 242]"
0128,45,"[238, 116, 18]"
0135,51,"[205, 130, 255]"
0136,64,"[33, 9, 173]"
0137,17,"[114, 122, 142]"
0138,59,"[34, 152, 142]"
0211,98,"[65, 130, 220]"
0213,25,"[15, 29, 144]"
0214,18,"[159, 224, 229]"
0215,82,"[206, 221, 218]"
0216,39,"[72, 24, 162]"
0217,9,"[112, 204, 236]"
0219,20,"[132, 51, 7]"
0220,5,"[191, 176, 229]"
0221,53,"[76, 78, 245]"
0226,86,"[44, 62, 36]"
0227,31,"[250, 100, 12]"
0228,93,"[140, 88, 108]"
0229,75,"[83, 251, 54]"
0230,35,"[64, 135, 50]"
0231,74,"[222, 85, 226]"
0233,3,"[20, 47, 248]"
0234,76,"[130, 135, 142]"
0235,21,"[249, 193, 231]"
0236,2,"[91, 133, 11]"
0237,16,"[129, 238, 248]"
0238,36,"[210, 78, 93]"
0239,63,"[11, 171, 161]"
0301,54,"[47, 182, 70]"
0402,81,"[119, 109, 245]"
0403,99,"[192, 102, 119]"
0412,24,"[118, 104, 222]"
0415,82,"[153, 68, 252]"
0417,93,"[211, 102, 195]"
0418,58,"[150, 212, 88]"
0419,34,"[131, 187, 241]"
0420,11,"[65, 89, 178]"
0423,49,"[200, 231, 16]"
0425,95,"[229, 131, 132]"
0426,52,"[186, 217, 235]"
0427,30,"[239, 128, 210]"
0428,70,"[224, 33, 108]"
0429,54,"[129, 10, 219]"
0430,77,"[228, 13, 127]"
0432,45,"[136, 109, 168]"
0434,43,"[61, 229, 121]"
0436,89,"[64, 69, 120]"
0437,58,"[72, 48, 127]"
0438,8,"[88, 47, 142]"
0439,66,"[88, 136, 242]"
0441,14,"[222, 34, 143]"
0501,63,"[134, 14, 70]"
0502,8,"[98, 46, 125]"
0511,88,"[21, 40, 171]"
0512,78,"[123, 40, 93]"
0513,90,"[180, 92, 161]"
0514,96,"[53, 9, 16]"
0515,60,"[142, 111, 103]"
0516,83,"[60, 44, 209]"
0517,21,"[213, 188, 161]"
0519,64,"[27, 217, 66]"
0520,11,"[120, 177, 115]"
0521,48,"[131, 96, 65]"
0522,24,"[221, 216, 142]"
0528,59,"[89, 211, 228]"
0529,25,"[224, 134, 2]"
0532,60,"[235, 183, 118]"
0533,89,"[75, 23, 95]"
0534,78,"[64, 221, 200]"
0536,90,"[175, 196, 24]"
0538,78,"[70, 191, 224]"
0540,62,"[172, 204, 159]"
0541,43,"[205, 217, 56]"
0542,38,"[107, 156, 222]"
0543,8,"[97, 86, 57]"
0544,93,"[154, 136, 219]"
0545,92,"[77, 166, 249]"
0602,48,"[9, 154, 126]"
0604,33,"[63, 153, 217]"
0605,30,"[205, 95, 205]"
0612,100,"[30, 75, 225]"
0615,4,"[205, 56, 148]"
0616,56,"[51, 223, 116]"
0617,19,"[73, 0, 209]"
0618,37,"[179, 133, 128]"
0619,39,"[72, 116, 211]"
0620,62,"[104, 54, 89]"
0621,59,"[2, 253, 211]"
0622,52,"[67, 115, 83]"
0623,74,"[158, 51, 145]"
0624,56,"[200, 54, 78]"
0625,63,"[4, 39, 104]"
0626,50,"[63, 204, 253]"
0627,50,"[9, 182, 97]"
0628,43,"[120, 221, 71]"
0631,62,"[200, 110, 136]"
0632,29,"[87, 216, 2]"
0633,61,"[219, 22, 166]"
0701,19,"[3, 253, 212]"
0704,75,"[235, 194, 231]"
0710,59,"[250, 205, 178]"
0711,54,"[198, 173, 171]"
0712,67,"[219, 149, 189]"
0713,1,"[181, 202, 186]"
0715,80,"[102, 168, 1]"
0716,92,"[90, 16, 0]"
0729,91,"[115, 16, 124]"
0805,55,"[58, 170, 232]"
0806,72,"[108, 128, 175]"
0807,83,"[41, 172, 224]"
0811,61,"[209, 124, 221]"
0814,45,"[20, 30, 151]"
0815,93,"[98, 146, 150]"
0817,36,"[155, 115, 10]"
0819,31,"[4, 125, 47]"
0821,51,"[116, 223, 7]"
0822,35,"[39, 95, 87]"
0826,96,"[179, 8, 76]"
0827,71,"[236, 71, 204]"
0828,59,"[222, 241, 40]"
0829,14,"[69, 12, 223]"
0830,40,"[217, 22, 45]"
0831,53,"[142, 7, 133]"
0833,31,"[198, 238, 91]"
0834,77,"[14, 60, 163]"
0901,90,"[184, 68, 185]"
0904,89,"[128, 117, 44]"
0906,20,"[46, 235, 200]"
0911,47,"[47, 149, 47]"
0912,58,"[141, 242, 206]"
0914,95,"[187, 231, 205]"
0919,79,"[151, 149, 131]"
0926,5,"[48, 79, 5]"
0928,37,"[114, 109, 152]"
0929,42,"[27, 11, 151]"
0935,55,"[171, 193, 28]"
0937,10,"[209, 196, 160]"
0938,70,"[99, 173, 23]"
0940,37,"[27, 11, 215]"
0941,98,"[158, 135, 95]"
1001,51,"[60, 222, 149]"
1002,40,"[9, 85, 196]"
1003,7,"[43, 19, 229]"
1004,2,"[217, 27, 55]"
1014,19,"[121, 59, 22]"
1017,80,"[173, 90, 185]"
1018,60,"[248, 249, 90]"
1021,7,"[68, 170, 228]"
1026,52,"[160, 247, 214]"
1027,58,"[131, 184, 33]"
1029,58,"[84, 20, 178]"
1032,47,"[252, 253, 250]"
1034,85,"[83, 171, 172]"
1037,88,"[117, 82, 120]"
1046,90,"[202, 8, 44]"
1101,75,"[123, 63, 151]"
1102,99,"[102, 23, 55]"
1103,36,"[70, 56, 2]"
1106,73,"[152, 5, 12]"
1111,98,"[80, 124, 99]"
1112,28,"[67, 37, 10]"
1114,52,"[51, 168, 159]"
1119,23,"[165, 147, 27]"
1120,58,"[176, 237, 35]"
1121,97,"[80, 85, 119]"
1122,89,"[78, 32, 68]"
1124,11,"[239, 113, 12]"
1127,44,"[73, 228, 253]"
1129,76,"[166, 148, 33]"
1130,11,"[147, 126, 49]"
1133,64,"[140, 95, 213]"
1134,20,"[254, 64, 190]"
1135,84,"[88, 168, 39]"
1141,96,"[187, 240, 39]"
1142,57,"[112, 149, 98]"
1145,84,"[119, 17, 168]"
1146,40,"[253, 68, 193]"
1149,1,"[214, 121, 126]"
1151,53,"[186, 133, 53]"
1160,70,"[138, 213, 144]"
1201,60,"[214, 163, 226]"
1211,34,"[232, 27, 107]"
1216,43,"[61, 73, 139]"
1219,26,"[87, 1, 238]"
1221,7,"[160, 208, 168]"
1222,37,"[251, 37, 114]"
1223,25,"[208, 157, 89]"
1224,24,"[186, 109, 43]"
1227,88,"[123, 171, 126]"
1228,42,"[46, 234, 206]"
1231,101,"[242, 173, 255]"
1232,52,"[200, 208, 109]"
1233,73,"[243, 99, 246]"
1234,92,"[255, 185, 134]"
1235,36,"[184, 100, 149]"
1238,40,"[228, 160, 23]"
1241,9,"[22, 162, 43]"
1242,91,"[247, 208, 68]"
1243,44,"[150, 121, 67]"
1244,17,"[197, 255, 245]"
1245,1,"[34, 98, 44]"
1246,21,"[108, 143, 189]"
1247,17,"[245, 30, 26]"
1251,2,"[185, 125, 212]"
1252,31,"[29, 42, 249]"
